id,name,symbol,  high  ,  low  ,percentageChange,  change  ,  price  ,  quantity  ,issueDate, sharevolume , tradevolume ,   turnover   ,lastTradedTime,    marketCap    , marketCapPercentage , issuedQTY ,date_scraped
9,NATIONS TRUST BANK PLC,NTB.N0000,195,187,8.06,14.25,191,6418,1999-05-03,445085,127,85136305.50,2025-04-10 14:29,54629038237.00,0.98,286015907,2025-04-10
560,CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,2695,2450,4.28,106.5,2593,5,1970-01-01,164,12,427235.00,2025-04-10 12:28,54422117370.00,0.98,20988090,2025-04-10
511,RICHARD PIERIS AND COMPANY PLC,RICH.N0000,25.9,25,0.4,0.1,25.1,2476,1951-01-01,75879,47,1925422.50,2025-04-10 14:25,51079460703.00,0.92,2035038275,2025-04-10
343,AITKEN SPENCE PLC,SPEN.N0000,128,124.5,1.01,1.25,125,50,1983-01-01,188717,95,23595377.75,2025-04-10 14:29,50749505625.00,0.91,405996045,2025-04-10
322,LB FINANCE PLC,LFIN.N0000,89,87,2.95,2.5,87.2,70,1997-12-30,49695,71,4355950.80,2025-04-10 14:21,48313782259.00,0.87,554057136,2025-04-10
239,DFCC BANK PLC,DFCC.N0000,109,103,9.02,8.75,105.75,1000,1956-01-01,967782,456,102216912.30,2025-04-10 14:29,46361249438.00,0.83,438404250,2025-04-10
77,NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,110,104,6.57,6.55,106.25,1600,1993-04-26,464574,357,49516299.75,2025-04-10 14:29,45278043950.00,0.81,426146296,2025-04-10
447,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,194,185,8.32,14.5,188.75,4878,1969-01-01,244589,167,46146529.50,2025-04-10 14:29,42913154703.00,0.77,227354462,2025-04-10
238,SUNSHINE HOLDINGS PLC,SUN.N0000,22,21.1,5.88,1.2,21.6,40258,1983-01-01,400369,169,8623303.60,2025-04-10 14:29,42506521546.00,0.76,1967894516,2025-04-10
503,ROYAL CERAMICS LANKA PLC,RCL.N0000,38.5,37.5,4.4,1.6,38,7500,1994-05-03,1325142,240,50362236.70,2025-04-10 14:29,42099965920.00,0.76,1107893840,2025-04-10
512,SINGER (SRI LANKA) PLC,SINS.N0000,34.5,31.9,11.07,3.4,34.1,279,1981-01-01,1421387,135,48096474.10,2025-04-10 14:29,39815770799.00,0.72,1167617912,2025-04-10
2065,ACCESS ENGINEERING PLC,AEL.N0000,39.8,38.3,5.19,1.9,38.5,200,2012-03-27,3243735,372,125333779.80,2025-04-10 14:29,38500000000.00,0.69,1000000000,2025-04-10
1968,PEOPLE'S LEASING & FINANCE PLC,PLC.N0000,17.9,17.1,3.59,0.6,17.3,1200,2011-11-24,6907297,136,120540987.70,2025-04-10 14:29,37270700475.00,0.67,2154375750,2025-04-10
25,BROWN & COMPANY PLC,BRWN.N0000,185.5,166.25,8.44,13.25,170.25,3,1991-04-25,138106,199,24382560.75,2025-04-10 14:24,36199406250.00,0.65,212625000,2025-04-10
1789,SENKADAGALA FINANCE COMPANY PLC,SFCL.N0000,,,0, -   ,410.25,,2011-03-22,,,,,35396301899.00,0.64,86279834,2025-04-10
1854,TEEJAY LANKA PLC,TJL.N0000,48.5,46,8.7,3.8,47.5,15343,2011-08-09,3201361,304,150402697.30,2025-04-10 14:29,34269242555.00,0.62,721457738,2025-04-10
162,C I C HOLDINGS PLC,CIC.N0000,120,115,3.99,4.5,117.25,1620,1964-10-11,132182,65,15603845.00,2025-04-10 14:20,34190100000.00,0.62,291600000,2025-04-10
486,PGP GLASS CEYLON PLC,GLAS.N0000,37.2,35.5,-3.79,-1.4,35.5,2165,1994-09-05,13490,19,495733.90,2025-04-10 14:19,33728055840.00,0.61,950086080,2025-04-10
4887,WINDFORCE PLC,WIND.N0000,25,24.5,2.89,0.7,24.9,500,2021-04-22,6810,23,169462.50,2025-04-10 14:29,33634146656.00,0.61,1350768942,2025-04-10
131,CHEVRON LUBRICANTS  LANKA  PLC,LLUB.N0000,142,139,3.73,5,139,1293,1996-10-14,497390,174,69387050.75,2025-04-10 14:13,33360000000.00,0.6,240000000,2025-04-10
354,PALM GARDEN HOTELS PLC,PALM.N0000,70,68,-0.29,-0.2,68,150,1993-03-08,9332,11,642360.00,2025-04-10 13:47,32363716000.00,0.58,475937000,2025-04-10
425,UNION ASSURANCE PLC,UAL.N0000,54.9,52,4.51,2.3,53.3,250,1988-07-29,769128,102,40105079.20,2025-04-10 14:29,31408928876.00,0.57,589285720,2025-04-10
399,DIPPED PRODUCTS PLC,DIPD.N0000,53,49.9,8.57,4,50.7,200,1982-01-01,2706469,565,137568299.60,2025-04-10 14:29,30349786584.00,0.55,598615120,2025-04-10
340,HATTON NATIONAL BANK PLC,HNB.X0000,264.75,246.25,8.22,19.5,256.75,10,1971-01-01,104598,157,26868234.25,2025-04-10 14:06,29745186374.00,0.54,115852722,2025-04-10
225,ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,26.6,25.5,1.18,0.3,25.8,3,1986-06-01,514,6,13279.60,2025-04-10 10:23,29348366777.00,0.53,1137533596,2025-04-10
472,ACL CABLES PLC,ACL.N0000,124,120.25,4.72,5.5,122,5000,1976-01-01,196095,123,23917304.25,2025-04-10 14:26,29228115840.00,0.53,239574720,2025-04-10
104,JOHN KEELLS HOTELS PLC,KHL.N0000,20.6,19.8,1.01,0.2,20,200,2004-09-17,236604,86,4764655.90,2025-04-10 14:26,29122935600.00,0.52,1456146780,2025-04-10
387,OVERSEAS REALTY (CEYLON) PLC,OSEA.N0000,23.5,22.6,0, -   ,23,183,1982-01-01,1411547,91,32476427.40,2025-04-10 14:07,28589680386.00,0.51,1243029582,2025-04-10
148,WATAWALA  PLANTATIONS  PLC,WATA.N0000,28.4,27.8,3.31,0.9,28.1,2500,1997-12-01,494227,198,13867539.30,2025-04-10 14:29,28564862937.00,0.51,1016543165,2025-04-10
121,AMBEON HOLDINGS PLC,GREG.N0000,81.9,76.1,2.38,1.8,77.5,2,1970-01-01,38077,42,2952150.60,2025-04-10 13:28,27657399115.00,0.5,356869666,2025-04-10
2145,AMBEON CAPITAL PLC,TAP.N0000,27.5,25.8,9.2,2.3,27.3,6761,2012-05-17,4476890,166,122020712.90,2025-04-10 14:26,27374387450.00,0.49,1002724815,2025-04-10
144,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,84,78,2.73,2.1,79.1,500,1980-01-01,40649,65,3218773.80,2025-04-10 14:27,26600539791.00,0.48,336290010,2025-04-10
6172,DIGITAL MOBILITY SOLUTIONS LANKA PLC,PKME.N0000,74,71.5,3.55,2.5,73,1278,2024-10-03,167728,92,12243603.90,2025-04-10 14:29,24332628129.00,0.44,333323673,2025-04-10
31,HAYCARB PLC,HAYC.N0000,81.5,78.5,2.46,1.9,79,20,1975-01-01,190423,92,15176807.90,2025-04-10 14:29,23472776250.00,0.42,297123750,2025-04-10
143,ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,53.5,51.7,2.33,1.2,52.8,285,2004-01-30,11035,22,577900.70,2025-04-10 14:05,23378535840.00,0.42,442775300,2025-04-10
327,DILMAH CEYLON TEA COMPANY PLC,CTEA.N0000,1100,1087,-1,-11,1088.25,50,1982-01-01,245,10,268055.00,2025-04-10 14:19,22567584375.00,0.41,20737500,2025-04-10
118,SOFTLOGIC LIFE INSURANCE PLC,AAIC.N0000,71.4,69.1,3.09,2.1,70.1,100,2000-11-24,369756,129,26192110.40,2025-04-10 14:29,22180078125.00,0.4,316406250,2025-04-10
411,TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000,76,73.5,5.35,3.8,74.8,10000,1984-01-01,325448,67,24041809.20,2025-04-10 14:28,21993444000.00,0.4,294030000,2025-04-10
348,EDEN HOTEL LANKA PLC,EDEN.N0000,13.8,13.5,2.99,0.4,13.8,10000,1993-12-13,90430,37,1233679.30,2025-04-10 14:19,21859200000.00,0.39,1584000000,2025-04-10
42,SEYLAN BANK PLC,SEYB.N0000,69.5,67.2,6.94,4.5,69.3,40,1989-01-05,154311,121,10523274.20,2025-04-10 14:24,21152919734.00,0.38,305236937,2025-04-10
276,HUNAS HOLDINGS PLC,HUNA.N0000,23.5,22.9,0, -   ,22.9,50,1993-10-18,51,2,1197.90,2025-04-10 11:13,19442787000.00,0.35,849030000,2025-04-10
1798,COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,60,58.2,3.17,1.8,58.5,1463,2011-06-01,426414,171,25075637.70,2025-04-10 14:29,18607350353.00,0.33,318074365,2025-04-10
5293,CAPITAL ALLIANCE PLC,CALT.N0000,55,52.3,5.2,2.7,54.6,8,2021-12-15,277613,203,15005001.80,2025-04-10 14:26,17986216466.00,0.32,329417884,2025-04-10
331,HAYLEYS FABRIC PLC,MGT.N0000,46.2,42.5,15.68,5.8,42.8,2000,2003-04-23,3277472,618,143027410.80,2025-04-10 14:29,17782620013.00,0.32,415481776,2025-04-10
40,THE LANKA HOSPITALS CORPORATION PLC,LHCL.N0000,79.9,75.5,0, -   ,77,2,2003-01-10,11107,14,875485.50,2025-04-10 13:57,17227377013.00,0.31,223732169,2025-04-10
518,LANKA MILK FOODS (CWE) PLC,LMF.N0000,44.5,42.5,4.88,2,43,8000,1983-01-01,497426,124,21420175.90,2025-04-10 14:27,17199140000.00,0.31,399980000,2025-04-10
941,JANASHAKTHI INSURANCE PLC,JINS.N0000,76,74.5,4.03,2.9,74.8,31,2008-07-21,577548,249,43321063.50,2025-04-10 14:27,16944156244.00,0.3,226526153,2025-04-10
213,SEYLAN BANK PLC,SEYB.X0000,50.8,48.5,7.31,3.4,49.9,1437,1989-01-05,302160,179,15020456.60,2025-04-10 14:29,16487478860.00,0.3,330410398,2025-04-10
105,PAN ASIA BANKING CORPORATION PLC,PABC.N0000,35.9,34.6,8,2.6,35.1,1000,2005-04-05,1844573,396,64656064.00,2025-04-10 14:29,15533913178.00,0.28,442561629,2025-04-10
5330,First Capital Treasuries PLC,FCT.N0000,24,23.2,1.74,0.4,23.4,200,2015-03-02,67370,63,1587538.90,2025-04-10 14:29,14405040000.00,0.26,615600000,2025-04-10
1630,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,238.75,230,4.09,9.25,235.25,91,2010-10-06,3123,10,723860.50,2025-04-10 13:40,14234213879.00,0.26,60506754,2025-04-10
525,THE COLOMBO FORT LAND AND BUILDING PLC,CFLB.N0000,60.6,55.1,-1.33,-0.8,59.2,5,1970-01-01,11472,13,679714.50,2025-04-10 13:38,14208000000.00,0.26,240000000,2025-04-10
337,LANKA TILES PLC,TILE.N0000,53.1,51.3,5.07,2.5,51.8,176,1986-06-01,21516,57,1120230.60,2025-04-10 14:17,13740056190.00,0.25,265252050,2025-04-10
5127,JAT HOLDINGS PLC,JAT.N0000,27.8,26,4.67,1.2,26.9,19301,2021-08-12,486460,107,13112912.80,2025-04-10 14:28,13729969094.00,0.25,510407773,2025-04-10
528,FIRST CAPITAL HOLDINGS PLC,CFVF.N0000,34.5,33.8,1.19,0.4,33.9,220,1994-08-22,432680,256,14710487.30,2025-04-10 14:29,13729500000.00,0.25,405000000,2025-04-10
1563,VALLIBEL FINANCE PLC,VFIN.N0000,58,57,4.55,2.5,57.5,865,2010-05-04,362475,119,20802477.80,2025-04-10 14:29,13538570500.00,0.24,235453400,2025-04-10
67,LANKA WALLTILE PLC,LWL.N0000,51,49.2,2.7,1.3,49.5,50,1994-06-13,56130,95,2823576.90,2025-04-10 14:27,13513500000.00,0.24,273000000,2025-04-10
3815,R I L PROPERTY PLC,RIL.N0000,16,15.3,7.38,1.1,16,105000,2017-05-04,10321957,372,164286841.80,2025-04-10 14:29,12800000000.00,0.23,800000000,2025-04-10
3046,AMANA BANK PLC,ABL.N0000,23.1,22.6,-0.87,-0.2,22.9,10000,2014-01-29,380374,40,8695757.20,2025-04-10 14:22,12620779583.00,0.23,551125746,2025-04-10
300,VIDULLANKA PLC,VLL.N0000,13.4,13.2,2.33,0.3,13.2,2754,2005-06-10,8494,9,112368.80,2025-04-10 14:18,12475051063.00,0.22,945079626,2025-04-10
389,KOTMALE HOLDINGS PLC,LAMB.N0000,,,0, -   ,395,,1969-01-01,,,,,12403000000.00,0.22,31400000,2025-04-10
196,CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,152.5,151,3.04,4.5,152.5,5000,1951-01-01,12251,13,1867147.00,2025-04-10 14:27,12208843628.00,0.22,80057991,2025-04-10
439,MALWATTE VALLEY PLANTATION PLC,MAL.N0000,,,0, -   ,58.8,,2000-07-26,,,,,11924189063.00,0.21,202792331,2025-04-10
279,KELANI CABLES PLC,KCAB.N0000,519,500,4.94,24,510,38,1974-01-01,34789,38,17763854.25,2025-04-10 14:28,11118000000.00,0.2,21800000,2025-04-10
74,CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,192,182.5,1.65,3,185,20,1984-01-01,102303,60,18965310.50,2025-04-10 14:27,11100000000.00,0.2,60000000,2025-04-10
1790,UNION BANK OF COLOMBO PLC,UBC.N0000,10.4,9.6,5.15,0.5,10.2,4000,2011-03-29,52790,24,522795.30,2025-04-10 14:21,11052295048.00,0.2,1083558338,2025-04-10
5,HNB ASSURANCE PLC,HASU.N0000,73.5,72,4.85,3.4,73.5,15,2003-11-28,12217,26,891798.90,2025-04-10 14:02,11025000000.00,0.2,150000000,2025-04-10
4986,PRIME LANDS RESIDENCIES PLC,PLR.N0000,12,11.2,7.34,0.8,11.7,3500,2021-06-08,6021436,274,69829906.30,2025-04-10 14:29,10968750000.00,0.2,937500000,2025-04-10
4077,NATIONS TRUST BANK PLC,NTB.X0000,263.5,243.5,0.62,1.5,244.75,60,1999-05-03,872,7,213389.00,2025-04-10 13:11,10921130481.00,0.2,44621575,2025-04-10
396,COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,118.25,110.5,6.43,6.75,111.75,2000,1970-01-01,327738,266,36917028.25,2025-04-10 14:29,10625880392.00,0.19,95086178,2025-04-10
1849,SOFTLOGIC HOLDINGS PLC,SHL.N0000,7.5,7,4.29,0.3,7.3,400,2011-07-12,451819,48,3324218.60,2025-04-10 14:24,10185383247.00,0.18,1395257979,2025-04-10
473,VALLIBEL POWER ERATHNA PLC,VPEL.N0000,13.2,12.8,4,0.5,13,10121,2006-05-16,533124,112,6916673.20,2025-04-10 14:19,9712426503.00,0.17,747109731,2025-04-10
375,DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,1078,1025,-0.64,-6.75,1043.25,100,1964-01-01,10562,99,11132798.00,2025-04-10 14:28,9630756116.00,0.17,9231494,2025-04-10
15,TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.X0000,64,62.5,6.15,3.7,63.9,132,1984-01-01,72376,50,4585430.10,2025-04-10 14:17,9394258500.00,0.17,147015000,2025-04-10
1724,LAUGFS GAS PLC,LGL.N0000,30,27.4,-4.5,-1.3,27.6,1,2010-12-08,111327,30,3065097.50,2025-04-10 14:29,9246002374.00,0.17,335000086,2025-04-10
291,NAMUNUKULA PLANTATIONS PLC,NAMU.N0000,396.5,384.75,3.08,11.5,385.25,2,1999-03-10,1936,8,754019.00,2025-04-10 12:17,9149687500.00,0.16,23750000,2025-04-10
262,UNITED MOTORS LANKA PLC,UML.N0000,93.1,87,4.65,4,90,1,1989-12-05,58131,27,5231763.80,2025-04-10 13:52,9081056340.00,0.16,100900626,2025-04-10
3082,ALUMEX PLC,ALUM.N0000,15.2,14.7,6.38,0.9,15,1200,2014-03-31,2167786,231,32490866.00,2025-04-10 14:29,8979085200.00,0.16,598605680,2025-04-10
329,THE KANDY HOTELS COMPANY (1938) PLC,KHC.N0000,11.9,11.8,-0.84,-0.1,11.8,180,1970-01-01,4555,12,54092.00,2025-04-10 12:03,8900849185.00,0.16,754309253,2025-04-10
5355,LOLC GENERAL INSURANCE PLC,LGIL.N0000,7.5,7.1,7.25,0.5,7.4,1000,2021-12-31,777601,98,5795970.20,2025-04-10 14:29,8880000000.00,0.16,1200000000,2025-04-10
115,ELPITIYA PLANTATIONS PLC,ELPL.N0000,118.25,115.25,5.13,5.75,117.75,2299,2000-12-08,8609,31,1011959.75,2025-04-10 14:25,8580021897.00,0.15,72866428,2025-04-10
116,GALADARI HOTELS (LANKA) PLC,GHLL.N0000,17.5,16.8,3.64,0.6,17.1,4404,1970-01-01,21901,26,373762.60,2025-04-10 14:17,8564185544.00,0.15,500829564,2025-04-10
142,SIERRA CABLES PLC,SIRA.N0000,16,15.5,6.08,0.9,15.7,1500,2005-11-22,1377072,147,21609605.00,2025-04-10 14:29,8438945151.00,0.15,537512430,2025-04-10
26,E B CREASY & COMPANY PLC,EBCR.N0000,34,33,1.22,0.4,33.1,241,1968-01-01,21889,33,728884.30,2025-04-10 14:19,8392365980.00,0.15,253545800,2025-04-10
981,CEYLINCO HOLDINGS PLC,CINS.X0000,1329.75,1250,0.6,7.5,1257.5,1,1988-04-21,449,16,564669.00,2025-04-10 14:06,8066208600.00,0.15,6414480,2025-04-10
499,TRANS ASIA HOTELS PLC,TRAN.N0000,40.9,39.5,0.51,0.2,39.5,25,1983-01-01,5142,11,205185.60,2025-04-10 12:54,7900000000.00,0.14,200000000,2025-04-10
1799,MERCANTILE INVESTMENTS AND FINANCE PLC,MERC.N0000,,,0, -   ,2600,,2011-06-02,,,,,7815600000.00,0.14,3006000,2025-04-10
230,NAWALOKA HOSPITALS PLC,NHL.N0000,5.5,5.3,3.77,0.2,5.5,1,2004-09-09,98086,23,532503.40,2025-04-10 13:52,7752280778.00,0.14,1409505596,2025-04-10
167,HARISCHANDRA MILLS PLC,HARI.N0000,,,0, -   ,4000,,1983-01-01,,,,,7678400000.00,0.14,1919600,2025-04-10
5852,CARGILLS BANK PLC,CBNK.N0000,8.2,8,3.85,0.3,8.1,1000,2024-01-09,72954,33,591102.70,2025-04-10 14:29,7659707150.00,0.14,945642858,2025-04-10
93,THREE ACRE FARMS PLC,TAFL.N0000,317.5,295.5,4.24,12.5,307.25,6,1995-03-20,1780,31,544471.00,2025-04-10 14:24,7234201250.00,0.13,23545000,2025-04-10
328,C I C HOLDINGS PLC,CIC.X0000,81,79,5.53,4.2,80.2,2941,1964-10-11,561930,127,45060440.50,2025-04-10 14:28,7015896000.00,0.13,87480000,2025-04-10
4019,JETWING SYMPHONY PLC,JETS.N0000,12,11.4,3.57,0.4,11.6,5000,2018-01-05,81532,38,956261.70,2025-04-10 14:24,6985387284.00,0.13,602188559,2025-04-10
133,CEYLON INVESTMENT PLC,CINV.N0000,72,70,5.84,3.9,70.7,170,1949-01-01,103098,43,7289272.00,2025-04-10 14:19,6872092530.00,0.12,97200743,2025-04-10
163,AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,44,41.3,5.81,2.4,43.7,1000,1996-01-22,35352,57,1510938.70,2025-04-10 14:29,6828125000.00,0.12,156250000,2025-04-10
4680,HNB FINANCE PLC,HNBF.N0000,4,3.8,5.41,0.2,3.9,50,2020-01-08,453468,80,1768135.10,2025-04-10 14:29,6698256189.00,0.12,1717501587,2025-04-10
477,TALAWAKELLE TEA ESTATES PLC,TPL.N0000,142,136.5,2.92,4,141,20,2000-01-11,5971,29,838782.50,2025-04-10 14:22,6697500000.00,0.12,47500000,2025-04-10
5753,Agarapatana Plantations PLC,AGPL.N0000,13.4,13.2,1.54,0.2,13.2,1500,2023-09-04,261320,101,3460328.50,2025-04-10 14:29,6600000000.00,0.12,500000000,2025-04-10
4058,HATTON PLANTATIONS PLC,HPL.N0000,28,27.2,2.59,0.7,27.7,500,2018-02-02,6450,18,178717.50,2025-04-10 14:29,6555666787.00,0.12,236666671,2025-04-10
82,KELANI TYRES PLC,TYRE.N0000,81.5,79.4,3.85,3,81,25,1994-01-28,17177,53,1391482.10,2025-04-10 14:20,6512400000.00,0.12,80400000,2025-04-10
119,SWISSTEK (CEYLON) PLC,PARQ.N0000,47.5,45.5,5.68,2.5,46.5,5,1983-01-01,1039543,299,48111491.30,2025-04-10 14:29,6363990000.00,0.11,136860000,2025-04-10
395,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,182,177,5.37,9.25,181.5,145,1959-01-01,26926,113,4840120.50,2025-04-10 14:18,6115824000.00,0.11,33696000,2025-04-10
240,ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,11.4,11,-1.77,-0.2,11.1,10,2004-11-12,7032,29,77939.10,2025-04-10 14:28,5865878750.00,0.11,528457545,2025-04-10
1596,ODEL PLC,ODEL.N0000,10.8,10.7,0.93,0.1,10.8,1000,2010-08-04,1500,2,16150.00,2025-04-10 13:08,5814395287.00,0.1,538369934,2025-04-10
2147,SANASA DEVELOPMENT BANK PLC,SDB.N0000,36,34.5,5.04,1.7,35.4,1800,2012-05-31,28195,33,1001239.40,2025-04-10 14:14,5811493888.00,0.1,164166494,2025-04-10
5431,HELA APPAREL HOLDINGS PLC,HELA.N0000,3.7,3.4,2.94,0.1,3.5,15897,2022-02-07,7993708,462,28004122.50,2025-04-10 14:29,5728613755.00,0.1,1636746787,2025-04-10
3461,PEOPLE'S INSURANCE PLC,PINS.N0000,29,28,2.93,0.8,28.1,30,2016-01-12,19099,14,542839.20,2025-04-10 14:18,5722072632.00,0.1,203632478,2025-04-10
246,SERENDIB HOTELS PLC,SHOT.N0000,19.8,18.5,4.44,0.8,18.8,10000,1973-01-01,22127,19,422884.40,2025-04-10 14:29,5678708298.00,0.1,302058952,2025-04-10
253,THE KINGSBURY PLC,SERV.N0000,11.9,11.7,1.74,0.2,11.7,200,1982-01-01,79666,27,946466.40,2025-04-10 14:17,5662800000.00,0.1,484000000,2025-04-10
316,KELANI VALLEY PLANTATIONS PLC,KVAL.N0000,86,80.5,1.49,1.2,82,33,1996-01-18,16054,24,1328735.00,2025-04-10 14:27,5576000000.00,0.1,68000000,2025-04-10
3794,B P P L HOLDINGS PLC,BPPL.N0000,18.9,17.5,1.14,0.2,17.7,25,2017-04-04,64835,29,1136846.00,2025-04-10 14:25,5431127419.00,0.1,306843357,2025-04-10
1944,SOFTLOGIC CAPITAL PLC,SCAP.N0000,5.6,5.3,3.77,0.2,5.5,15000,2011-09-21,445866,74,2433114.90,2025-04-10 14:26,5374529600.00,0.1,977187200,2025-04-10
267,COLOMBO DOCKYARD PLC,DOCK.N0000,72.4,68.1,6.63,4.5,72.4,12,1983-01-01,69921,34,5029672.10,2025-04-10 13:01,5202586098.00,0.09,71858924,2025-04-10
1965,DIALOG FINANCE PLC,CALF.N0000,,,0, -   ,44,,2011-10-04,,,,,5165594104.00,0.09,117399866,2025-04-10
1785,SINGER FINANCE LANKA PLC,SFIN.N0000,25.5,24.5,4.94,1.2,25.5,500,2011-01-17,362497,45,8923140.10,2025-04-10 14:29,5152888913.00,0.09,202074075,2025-04-10
6052,CABLE SOLUTIONS PLC,CSLK.N0000,11.5,10.6,9.09,0.9,10.8,4110,2024-08-14,475049,142,5196291.90,2025-04-10 14:29,5083199280.00,0.09,470666600,2025-04-10
